User ID,Subscription Type,Monthly Revenue (USD),Join Date,Last Payment Date,Device
1,Basic,10,15-01-22,10/06/23,Smartphone
2,Premium,15,05/09/21,22-06-23,Tablet
3,Standard,12,28-02-23,27-06-23,Smart TV
4,Standard,12,10/07/22,26-06-23,Laptop
5,Basic,10,01/05/23,28-06-23,Smartphone
6,Premium,15,18-03-22,27-06-23,Smart TV
7,Standard,12,09/12/21,25-06-23,Tablet
8,Basic,10,02/04/23,24-06-23,Laptop
9,Standard,12,20-10-22,23-06-23,Smartphone
10,Premium,15,07/01/23,22-06-23,Smart TV
11,Basic,10,16-05-22,22-06-23,Smartphone
12,Premium,15,23-03-23,28-06-23,Tablet
13,Standard,12,30-11-21,27-06-23,Laptop
14,Basic,10,01/08/22,26-06-23,Smartphone
15,Standard,12,09/05/23,28-06-23,Smart TV
16,Premium,15,07/04/22,27-06-23,Tablet
17,Basic,10,24-01-22,25-06-23,Laptop
18,Standard,12,18-10-21,24-06-23,Smartphone
19,Premium,15,15-02-23,23-06-23,Smart TV
20,Basic,10,27-05-23,22-06-23,Tablet
21,Premium,15,10/06/23,22-06-23,Laptop
22,Basic,10,22-07-22,28-06-23,Smartphone
23,Standard,12,05/12/21,27-06-23,Smart TV
24,Standard,12,03/04/22,26-06-23,Tablet
25,Basic,10,14-03-23,28-06-23,Laptop
26,Premium,15,12/01/22,27-06-23,Smartphone
27,Basic,10,29-08-22,25-06-23,Smart TV
28,Standard,12,27-09-21,24-06-23,Tablet
29,Premium,15,19-12-22,23-06-23,Laptop
30,Basic,10,17-05-23,22-06-23,Smartphone
31,Premium,15,03/02/23,22-06-23,Smart TV
32,Basic,10,07/07/22,28-06-23,Tablet
33,Standard,12,21-01-22,27-06-23,Laptop
34,Standard,12,25-05-22,26-06-23,Smartphone
35,Basic,10,11/04/23,28-06-23,Smart TV
36,Premium,15,01/03/22,27-06-23,Tablet
37,Basic,10,14-09-22,25-06-23,Laptop
38,Standard,12,05/11/21,24-06-23,Smartphone
39,Premium,15,28-12-22,23-06-23,Smart TV
40,Basic,10,07/03/23,22-06-23,Tablet
41,Premium,15,20-01-23,22-06-23,Laptop
42,Basic,10,15-06-22,28-06-23,Smartphone
43,Standard,12,07/02/22,27-06-23,Smart TV
44,Standard,12,26-04-22,26-06-23,Tablet
45,Basic,10,28-01-23,28-06-23,Laptop
46,Premium,15,23-02-22,27-06-23,Smartphone
47,Basic,10,05/10/22,25-06-23,Smart TV
48,Standard,12,15-09-21,24-06-23,Tablet
49,Premium,15,10/11/22,23-06-23,Laptop
50,Basic,10,02/06/23,22-06-23,Smartphone
51,Premium,15,27-02-23,22-06-23,Smart TV
52,Basic,10,29-08-22,28-06-23,Tablet
53,Standard,12,13-01-22,27-06-23,Laptop
54,Standard,12,30-06-22,26-06-23,Smartphone
55,Basic,10,20-04-23,28-06-23,Smart TV
56,Premium,15,15-03-22,27-06-23,Tablet
57,Basic,10,01/10/22,25-06-23,Laptop
58,Standard,12,08/10/21,24-06-23,Smartphone
59,Premium,15,03/12/22,23-06-23,Smart TV
60,Basic,10,14-06-23,22-06-23,Tablet
61,Premium,15,08/02/23,22-06-23,Laptop
62,Basic,10,03/08/22,28-06-23,Smartphone
63,Standard,12,23-02-22,27-06-23,Smart TV
64,Standard,12,20-06-22,26-06-23,Tablet
65,Basic,10,29-03-23,28-06-23,Laptop
66,Premium,15,30-01-22,27-06-23,Smartphone
67,Basic,10,18-09-22,25-06-23,Smart TV
68,Standard,12,09/11/21,24-06-23,Tablet
69,Premium,15,23-12-22,23-06-23,Laptop
70,Basic,10,08/05/23,22-06-23,Smartphone
71,Basic,10,26-01-22,20-06-23,Smartphone
72,Basic,10,11/10/22,22-06-23,Smartphone
73,Standard,12,27-09-22,26-06-23,Laptop
74,Premium,13,14-12-22,25-06-23,Smartphone
75,Basic,13,28-05-22,26-06-23,Laptop
76,Basic,13,29-12-21,26-06-23,Laptop
77,Premium,15,25-12-22,23-06-23,Smartphone
78,Standard,15,18-11-22,28-06-23,Tablet
79,Standard,15,03/12/22,25-06-23,Laptop
80,Basic,12,08/11/22,22-06-23,Tablet
81,Premium,10,11/01/23,24-06-23,Tablet
82,Standard,12,07/12/22,28-06-23,Laptop
83,Basic,10,20-10-22,26-06-23,Smartphone
84,Standard,12,13-04-23,25-06-23,Smartphone
85,Premium,10,06/04/23,27-06-23,Laptop
86,Basic,11,04/03/22,25-06-23,Smartphone
87,Premium,15,28-12-21,23-06-23,Smart TV
88,Standard,12,27-09-22,28-06-23,Tablet
89,Basic,15,20-10-22,26-06-23,Smartphone
90,Standard,13,03/02/23,23-06-23,Smartphone
91,Premium,11,03/10/22,23-06-23,Tablet
92,Basic,14,05/01/22,28-06-23,Smart TV
93,Standard,12,05/02/22,26-06-23,Smartphone
94,Premium,12,19-03-22,25-06-23,Smartphone
95,Basic,11,28-02-22,25-06-23,Laptop
96,Premium,14,26-07-22,24-06-23,Laptop
97,Basic,10,05/03/22,24-06-23,Tablet
98,Standard,13,07/03/22,28-06-23,Tablet
99,Standard,12,13-01-23,24-06-23,Tablet
100,Basic,12,22-01-23,25-06-23,Laptop
101,Premium,11,17-10-22,24-06-23,Tablet
102,Basic,12,29-03-22,28-06-23,Tablet
103,Standard,13,04/04/22,26-06-23,Laptop
104,Premium,10,08/06/22,25-06-23,Laptop
105,Basic,11,04/03/22,27-06-23,Laptop
106,Premium,10,18-03-22,24-06-23,Tablet
107,Basic,14,07/03/22,24-06-23,Smart TV
108,Standard,12,24-05-22,25-06-23,Smart TV
109,Standard,13,08/02/23,25-06-23,Tablet
110,Basic,13,26-01-23,24-06-23,Laptop
111,Premium,14,14-07-22,27-06-23,Tablet
112,Basic,10,01/06/22,28-06-23,Laptop
113,Standard,15,07/05/22,26-06-23,Tablet
114,Premium,10,18-11-22,25-06-23,Smartphone
115,Basic,11,05/04/22,25-06-23,Laptop
116,Premium,14,19-05-22,23-06-23,Smart TV
117,Basic,15,30-10-21,23-06-23,Tablet
118,Standard,12,07/08/22,27-06-23,Smartphone
119,Standard,11,20-09-22,25-06-23,Smartphone
120,Basic,10,18-10-22,25-06-23,Smart TV
121,Premium,15,03/10/22,24-06-23,Smart TV
122,Basic,11,03/05/22,28-06-23,Smart TV
123,Standard,13,25-05-22,26-06-23,Smartphone
124,Premium,15,05/11/22,25-06-23,Laptop
125,Basic,12,21-08-22,24-06-23,Smartphone
126,Premium,13,21-09-22,23-06-23,Laptop
127,Basic,10,23-11-21,23-06-23,Smartphone
128,Standard,12,06/10/22,27-06-23,Smartphone
129,Standard,13,05/11/22,23-06-23,Smart TV
130,Basic,14,07/01/23,23-06-23,Tablet
131,Premium,15,06/10/22,23-06-23,Laptop
132,Basic,15,24-06-22,28-06-23,Smart TV
133,Standard,13,24-06-22,26-06-23,Smart TV
134,Premium,15,05/11/22,25-06-23,Tablet
135,Basic,13,18-07-22,26-06-23,Smart TV
136,Premium,12,13-09-22,26-06-23,Smart TV
137,Basic,12,10/08/22,22-06-23,Laptop
138,Standard,15,21-09-22,23-06-23,Laptop
139,Standard,13,24-03-23,23-06-23,Smartphone
140,Basic,12,02/05/22,23-06-23,Smartphone
141,Premium,12,11/05/22,27-06-23,Smartphone
142,Basic,14,10/06/22,22-06-23,Smart TV
143,Standard,14,31-08-22,24-06-23,Tablet
144,Premium,10,17-08-22,26-06-23,Smart TV
145,Basic,11,05/05/22,26-06-23,Laptop
146,Basic,10,06/10/22,25-06-23,Tablet
147,Basic,12,08/11/22,24-06-23,Laptop
148,Standard,15,27-11-22,28-06-23,Smartphone
149,Premium,13,17-11-22,27-06-23,Smart TV
150,Basic,10,15-12-22,23-06-23,Laptop
151,Basic,15,12/12/22,25-06-23,Laptop
152,Premium,14,23-11-22,27-06-23,Tablet
153,Standard,11,25-12-22,24-06-23,Smartphone
154,Standard,11,11/03/23,27-06-23,Laptop
155,Basic,14,18-11-22,27-06-23,Tablet
156,Premium,15,19-08-22,25-06-23,Smartphone
157,Standard,14,27-09-22,24-06-23,Laptop
158,Basic,13,19-10-22,28-06-23,Smartphone
159,Standard,10,21-12-22,26-06-23,Smart TV
160,Premium,15,27-10-22,25-06-23,Smartphone
161,Basic,10,23-10-22,24-06-23,Tablet
162,Premium,15,19-04-22,25-06-23,Laptop
163,Standard,11,05/04/22,26-06-23,Laptop
164,Basic,11,11/03/22,26-06-23,Tablet
165,Standard,14,25-05-22,25-06-23,Tablet
166,Premium,13,16-04-22,26-06-23,Laptop
167,Basic,13,07/04/22,24-06-23,Smartphone
168,Standard,10,11/12/22,28-06-23,Tablet
169,Premium,12,20-01-23,26-06-23,Tablet
170,Basic,14,12/01/23,25-06-23,Laptop
171,Premium,11,29-04-22,24-06-23,Tablet
172,Basic,12,27-04-22,26-06-23,Smartphone
173,Standard,15,03/06/22,25-06-23,Smartphone
174,Standard,14,23-04-22,25-06-23,Tablet
175,Basic,10,22-04-22,26-06-23,Laptop
176,Premium,13,12/04/22,25-06-23,Smart TV
177,Basic,15,23-05-22,26-06-23,Smartphone
178,Standard,13,19-10-22,26-06-23,Laptop
179,Premium,10,03/12/22,26-06-23,Tablet
180,Basic,14,26-09-22,25-06-23,Laptop
181,Premium,15,16-06-22,27-06-23,Smartphone
182,Basic,13,16-05-22,25-06-23,Laptop
183,Standard,15,26-05-22,26-06-23,Tablet
184,Standard,13,26-04-22,25-06-23,Laptop
185,Basic,11,12/05/22,25-06-23,Tablet
186,Premium,12,01/03/22,25-06-23,Smart TV
187,Basic,13,10/07/22,24-06-23,Laptop
188,Standard,15,16-07-22,27-06-23,Smart TV
189,Premium,13,02/09/22,26-06-23,Smart TV
190,Basic,11,18-09-22,26-06-23,Tablet
191,Premium,10,08/07/22,25-06-23,Laptop
192,Basic,14,26-06-22,27-06-23,Smartphone
193,Standard,11,05/08/22,25-06-23,Laptop
194,Standard,14,19-08-22,27-06-23,Laptop
195,Basic,11,26-08-22,24-06-23,Smartphone
196,Premium,13,09/06/22,24-06-23,Smart TV
197,Basic,14,27-09-22,23-06-23,Tablet
198,Standard,10,18-10-22,27-06-23,Laptop
199,Premium,14,31-10-22,25-06-23,Tablet
200,Basic,11,13-10-22,25-06-23,Tablet
201,Premium,11,04/07/22,27-06-23,Smart TV
202,Basic,12,26-06-22,27-06-23,Tablet
203,Standard,13,31-07-22,24-06-23,Smart TV
204,Standard,12,27-07-22,24-06-23,Smartphone
205,Basic,12,30-07-22,25-06-23,Smart TV
206,Premium,11,06/08/22,25-06-23,Smartphone
207,Basic,15,16-09-22,24-06-23,Smartphone
208,Standard,15,05/01/23,23-06-23,Tablet
209,Premium,11,10/12/22,24-06-23,Laptop
210,Basic,14,22-11-22,26-06-23,Laptop
211,Premium,15,15-11-22,27-06-23,Tablet
212,Basic,11,28-10-22,26-06-23,Smart TV
213,Standard,12,08/09/22,24-06-23,Smart TV
214,Standard,13,30-06-22,28-06-23,Laptop
215,Basic,13,02/09/22,27-06-23,Smartphone
216,Premium,14,08/10/22,24-06-23,Smart TV
217,Basic,15,13-11-22,25-06-23,Smart TV
218,Standard,12,15-11-22,28-06-23,Tablet
219,Premium,12,16-11-22,25-06-23,Smartphone
220,Basic,12,26-11-22,27-06-23,Tablet
221,Basic,12,26-11-22,25-06-23,Smartphone
222,Basic,10,12/12/22,26-06-23,Smartphone
223,Standard,12,08/01/23,25-06-23,Smartphone
224,Premium,15,27-11-22,29-06-23,Smartphone
225,Basic,14,11/10/22,27-06-23,Smartphone
226,Basic,10,27-09-22,26-06-23,Smartphone
227,Premium,12,30-09-22,24-06-23,Smartphone
228,Standard,10,04/11/22,27-06-23,Smart TV
229,Standard,13,04/11/22,27-06-23,Smartphone
230,Basic,12,30-10-22,26-06-23,Laptop
231,Premium,11,29-10-22,24-06-23,Smartphone
232,Standard,11,30-08-22,27-06-23,Smartphone
233,Basic,15,07/07/22,26-06-23,Smart TV
234,Standard,14,26-05-22,27-06-23,Laptop
235,Premium,11,17-05-22,25-06-23,Laptop
236,Basic,11,08/05/22,26-06-23,Smartphone
237,Premium,13,07/07/22,25-06-23,Tablet
238,Standard,15,17-07-22,28-06-23,Smartphone
239,Basic,15,23-12-22,26-06-23,Smart TV
240,Standard,13,27-06-22,26-06-23,Smartphone
241,Premium,13,31-05-22,27-06-23,Laptop
242,Basic,12,02/06/22,26-06-23,Laptop
243,Standard,11,25-05-22,27-06-23,Laptop
244,Premium,15,26-04-22,26-06-23,Smartphone
245,Basic,13,20-04-22,26-06-23,Smart TV
246,Premium,11,03/05/22,25-06-23,Smartphone
247,Basic,12,07/07/22,27-06-23,Smart TV
248,Standard,13,15-09-22,26-06-23,Smartphone
249,Standard,14,16-09-22,27-06-23,Smartphone
250,Basic,14,09/08/22,26-06-23,Laptop
251,Premium,15,25-06-22,27-06-23,Laptop
252,Basic,11,30-05-22,26-06-23,Smartphone
253,Standard,15,21-05-22,25-06-23,Tablet
254,Premium,12,20-05-22,27-06-23,Smart TV
255,Basic,13,20-05-22,26-06-23,Smart TV
256,Premium,12,30-05-22,26-06-23,Tablet
257,Basic,13,17-06-22,25-06-23,Laptop
258,Standard,11,16-07-22,28-06-23,Smartphone
259,Standard,15,05/08/22,26-06-23,Smartphone
260,Basic,10,17-07-22,26-06-23,Smartphone
261,Premium,13,04/07/22,25-06-23,Smart TV
262,Basic,12,13-07-22,26-06-23,Tablet
263,Standard,15,25-07-22,24-06-23,Smartphone
264,Premium,10,09/08/22,27-06-23,Smartphone
265,Basic,11,05/08/22,25-06-23,Smart TV
266,Premium,10,17-08-22,26-06-23,Tablet
267,Basic,11,08/09/22,27-06-23,Laptop
268,Standard,13,16-10-22,28-06-23,Smart TV
269,Standard,13,15-10-22,25-06-23,Laptop
270,Basic,12,04/09/22,25-06-23,Smart TV
271,Premium,14,20-08-22,26-06-23,Laptop
272,Basic,10,10/08/22,26-06-23,Smartphone
273,Standard,12,02/08/22,25-06-23,Laptop
274,Premium,10,01/08/22,24-06-23,Tablet
275,Basic,15,06/08/22,25-06-23,Laptop
276,Premium,14,09/08/22,25-06-23,Smart TV
277,Basic,13,12/09/22,26-06-23,Tablet
278,Standard,14,27-09-22,26-06-23,Laptop
279,Standard,15,12/11/22,24-06-23,Laptop
280,Basic,12,13-11-22,27-06-23,Laptop
281,Premium,12,02/11/22,28-06-23,Smart TV
282,Basic,11,30-10-22,25-06-23,Smart TV
283,Standard,15,30-06-22,26-06-23,Smartphone
284,Premium,14,04/08/22,28-06-23,Smartphone
285,Basic,10,01/09/22,27-06-23,Laptop
286,Premium,14,14-10-22,27-06-23,Laptop
287,Basic,10,16-10-22,26-06-23,Smartphone
288,Standard,14,20-10-22,28-06-23,Smart TV
289,Standard,15,20-11-22,25-06-23,Smart TV
290,Basic,12,25-11-22,30-06-23,Smartphone
291,Premium,13,04/12/22,27-06-23,Tablet
292,Basic,11,12/12/22,27-06-23,Laptop
293,Standard,14,09/12/22,25-06-23,Laptop
294,Premium,10,15-10-22,29-06-23,Laptop
295,Basic,14,03/10/22,27-06-23,Laptop
296,Basic,12,01/10/22,27-06-23,Tablet
297,Basic,13,02/11/22,24-06-23,Smartphone
298,Standard,14,03/11/22,27-06-23,Tablet
